idle time %,avg speed,avg long. acceleration
0.0,19.3693,-0.1003
0.0,8.775,0.1354999999999999
0.0,8.741600000000002,-0.0318
98.0,0.0230999999999999,0.0085999999999999
98.0,0.022,-0.0020999999999999
98.0,0.0215,0.0049
98.0,0.0219,-0.012
98.0,0.0213,-0.0012999999999999
98.0,0.0212,0.0077999999999999
98.0,0.0206,-0.0198
99.0,0.0107,-0.0025999999999999
99.0,0.0105,0.0018999999999999
99.0,0.01,-0.0005999999999999
99.0,0.0102,-0.0125999999999999
99.0,0.0101,-0.0272999999999999
98.0,0.9221,0.0034999999999999
97.0,0.0373,0.0246
97.0,0.0338,1.27675647831893e-17
97.0,0.0331,-0.0040999999999999
100.0,0.0,0.0017999999999999
100.0,0.0,0.0018
100.0,0.0,0.0017999999999999
100.0,0.0,0.002
100.0,0.0,0.002
